source,term,count,studies_returned,has_nextPageToken
pubmed,"(""JHW-007""[Title/Abstract] AND ""WAY-600""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (WAY-600) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""MK-2206 dihydrochloride""[Title/Abstract] AND ""Bazedoxifene HCl""[Title/Abstract])",0.0,,
clinicaltrials,(MK-2206 dihydrochloride) AND (Bazedoxifene HCl) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Miransertib""[Title/Abstract] AND ""EHop-016""[Title/Abstract])",0.0,,
clinicaltrials,(Miransertib) AND (EHop-016) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Siramesine (hydrochloride)""[Title/Abstract])",0.0,,
clinicaltrials,(PENFLURIDOL) AND (Siramesine (hydrochloride)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PD173074""[Title/Abstract] AND ""BMS-833923 (XL139)""[Title/Abstract])",0.0,,
clinicaltrials,(PD173074) AND (BMS-833923 (XL139)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
